Section Number,Name,Description,Offence,Punishment,Cognizable,Bailable,Court Level
1,"Short title, commencement, and application",Defines the title of the act and its application scope.,Not applicable,Not applicable,No,No,Not applicable
2,Definitions,Provides definitions of key terms used in the act.,Not applicable,Not applicable,No,No,Not applicable
3,General explanations,Provides general explanations for terms used in the act.,Not applicable,Not applicable,No,No,Not applicable
4,Punishments,"Lists different types of punishments including death, imprisonment, fine, and community service.",Various offences,"Death, Imprisonment, Fine, Community Service",Depends on offence,Depends on offence,Depends on offence
5,Commutation of sentence,Allows the government to commute a punishment to a lesser one.,Not applicable,Reduced punishment,No,No,Government decision
6,Fractions of terms of punishment,Defines how imprisonment terms are calculated in fractions.,Not applicable,Not applicable,No,No,Not applicable
7,Sentence description,Defines whether an imprisonment sentence is rigorous or simple.,Not applicable,Not applicable,No,No,Not applicable
8,Amount of fine and liability in default,Defines how fines are determined and the consequences of non-payment.,Failure to pay fine,Additional imprisonment,No,No,Depends on offence
9,Limit of punishment for multiple offences,States that a person cannot be punished more than once for the same offence.,Multiple offences,One punishment for all related offences,No,No,Depends on offence
10,Punishment for uncertain offences,"If it is unclear which offence was committed, the person is given the minimum punishment.",Unclear offence,Minimum applicable punishment,No,No,Depends on offence
11,Solitary confinement,Defines the conditions under which a prisoner may be placed in solitary confinement.,Varies based on offence,Solitary confinement for a limited period,No,No,Court decision
12,Limitations on solitary confinement,Restricts the duration of solitary confinement to prevent excessive punishment.,Excessive solitary confinement,Regulated period of confinement,No,No,Court decision
13,Enhanced punishment for repeat offenders,Defines additional punishments for repeat offenders of serious crimes.,Repeat offences,Extended imprisonment or life imprisonment,Yes,No,Sessions Court
14,Acts done under legal obligation,Defines actions that are not offences if done under legal obligation.,Not applicable,Not applicable,No,No,Not applicable
15,Acts of judges when acting judicially,States that judges are not liable for actions taken in good faith while performing duties.,Not applicable,Not applicable,No,No,Not applicable
16,Acts done under a court order,States that actions taken as per a valid court order are not offences.,Not applicable,Not applicable,No,No,Not applicable
17,Acts justified by law,Defines that actions justified by law or done with a lawful belief are not offences.,Not applicable,Not applicable,No,No,Not applicable
18,Accident in doing a lawful act,States that an accident occurring while performing a lawful act is not an offence.,Not applicable,Not applicable,No,No,Not applicable
19,Act likely to cause harm but done without criminal intent,Defines that an act done in good faith to prevent harm is not an offence.,Not applicable,Not applicable,No,No,Not applicable
20,Act of a child under seven years of age,States that a child below seven years is not criminally liable.,Not applicable,Not applicable,No,No,Not applicable
21,Act of a child above seven and under twelve years of age,A child between seven and twelve years is not liable if they lack maturity of understanding.,Not applicable,Not applicable,No,No,Not applicable
22,Act of a person of unsound mind,A person incapable of understanding their actions due to mental illness is not liable.,Not applicable,Not applicable,No,No,Not applicable
23,Act of a person incapable of judgment by reason of intoxication,A person who is intoxicated without their knowledge or against their will is not liable.,Not applicable,Not applicable,No,No,Not applicable
24,Offence requiring a particular intent or knowledge committed by one who is intoxicated,A voluntarily intoxicated person is held liable as if they were sober.,Intoxicated offence,Punishment as per offence,Depends on offence,Depends on offence,Depends on offence
25,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent",An act done with consent and not meant to cause grievous hurt or death is not an offence.,Not applicable,Not applicable,No,No,Not applicable
26,"Act not intended to cause death, done by consent in good faith for person's benefit",An act done for someone's benefit with consent is not an offence.,Not applicable,Not applicable,No,No,Not applicable
27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian",A guardian can consent to an act done for the benefit of a child or mentally ill person.,Not applicable,Not applicable,No,No,Not applicable
28,Consent given under fear or misconception,Consent obtained under fear or misunderstanding is not valid.,Not applicable,Not applicable,No,No,Not applicable
29,Exclusion of acts which are offences independently of harm caused,An act remains an offence even if the harmed party consents to it.,Not applicable,Not applicable,No,No,Not applicable
30,Act done in good faith for benefit of a person without consent,An act done to benefit someone incapable of consent is not an offence.,Not applicable,Not applicable,No,No,Not applicable
31,Communication made in good faith,A truthful communication made in good faith is not an offence.,Not applicable,Not applicable,No,No,Not applicable
32,Act to which a person is compelled by threats,A person forced to commit an act under threat of death is not liable.,Not applicable,Not applicable,No,No,Not applicable
33,Act causing slight harm,An act causing trivial harm that no reasonable person would complain about is not an offence.,Not applicable,Not applicable,No,No,Not applicable
34,Things done in private defence,An act done in self-defence is not an offence.,Not applicable,Not applicable,No,No,Not applicable
35,Right of private defence of body and property,A person has the right to defend their body and property.,Not applicable,Not applicable,No,No,Not applicable
36,Right of private defence against acts of a person of unsound mind,Self-defence applies even against those acting under a misconception or insanity.,Not applicable,Not applicable,No,No,Not applicable
37,Acts against which there is no right of private defence,No self-defence is allowed against lawful actions of public servants.,Not applicable,Not applicable,No,No,Not applicable
